Gene name,Coordinates,,Orientation,Description
yhhM,3602882,3603241,-,Function unknown
yhhN,3603382,3604008,+,Function unknown
zntA,3604082,3606280,+,Zn2+ translocating P-type ATPase; hypersensitive to Zn and Cd salts
sirA,3606382,3606627,-,Small protein required for cell growth; affects sigma S stability
yhhQ,3606848,3607513,+,Function unknown
dcrB,3607586,3608143,+,Resistant to lytic phage C1; periplasmic protein perhaps anchored to inner membrane
yhhS,3608147,3609364,-,Function unknown
yhhT,3609496,3610545,+,Function unknown
yhhU,3610600,3611187,+,Function unknown
nikA,3611298,3612872,+,"Affects formate hydrogen-lyase activity, hydrogenase, and hydrogenase-related fumarase"
nikB,3612872,3613816,+,"Affects formate hydrogen-lyase activity, hydrogenase, and hydrogenase-related fumarase"
nikC,3613813,3614646,+,"Affects formate hydrogen-lyase activity, hydrogenase, and hydrogenase-related fumarase"
nikD,3614646,3615410,+,"Affects formate hydrogen-lyase activity, hydrogenase, and hydrogenase-related fumarase"
nikE,3615407,3616213,+,Formate hydrogen-lyase activity
yhhG,3616219,3616620,+,Function unknown
rhsB,3616823,3621058,+,Encoded within repeats that are hotspots for chromosomal duplication formation; Function of protein is unknown
yhhH,3621030,3621413,+,Function unknown
yrhC,3621518,3621868,+,Function unknown
yhhI,3622009,3623145,+,Function unknown
yhhJ,3623310,3624437,-,Function unknown
yhiH,3624434,3627168,-,Function unknown
yhiI,3627165,3628232,-,Function unknown
yhiJ,3628598,3630220,-,Function unknown
yhiL,3630482,3632088,-,Function unknown
yhiM,3632429,3633523,+,Function unknown
yhiN,3633838,3635040,-,Function unknown
pitA,3635272,3636771,+,Low-affinity Pi transport
uspB,3637015,3637350,-,Sigma S-regulated gene divergent from uspA; ethanol resistance in stationary phase
uspA,3637741,3638175,+,Global regulatory gene for stress response
yhiP,3638492,3639961,+,Function unknown
yhiQ,3640010,3640762,-,Function unknown
prlC,3640770,3642812,-,Oligopeptidase A; opdA in Salmonella
yhiR,3643015,3643857,+,Function unknown
gor,3643929,3645281,+,Glutathione oxidoreductase
arsR,3646158,3646511,+,"Resistance to arsenate, arsenite, and antimonite"
arsB,3646565,3647854,+,"Resistance to arsenate, arsenite, and antimonite"
arsC,3647867,3648292,+,"Resistance to arsenate, arsenite, and antimonite"
yhiS,3648921,3651343,+,Function unknown; interrupted by IS5T
slp,3651591,3652157,+,C starvation and stationary phase inducible; outer membrane lipoprotein
yhiF,3652313,3652843,+,Function unknown
yhiD,3652885,3653532,-,Function unknown
hdeB,3653596,3653922,-,"Periplasmic, unknown function, has sigma S-dependent promoter"
hdeA,3654038,3654370,-,"Periplasmic, unknown function, has sigma S-dependent promoter"
hdeD,3654625,3655197,+,"Periplasmic, unknown function, has sigma S-dependent promoter"
yhiE,3655996,3656523,+,Function unknown
yhiU,3656862,3658019,+,Function unknown
yhiV,3658044,3661157,+,Function unknown
yhiW,3661520,3662248,-,Function unknown
yhiX,3662616,3663440,-,Function unknown
gadA,3663810,3665210,-,Glutamate decarboxylase
yhjA,3665421,3666818,-,Function unknown
treF,3667222,3668871,+,Cytoplasmic trehalase
yhjB,3668922,3669524,-,Function unknown
yhjC,3670044,3670943,+,Function unknown
yhjD,3670992,3672005,+,Function unknown
yhjE,3672416,3673738,+,Function unknown
yhjG,3673920,3675995,-,Function unknown
yhjH,3676050,3676817,-,Function unknown
kdgK,3677049,3677978,+,Ketodeoxygluconokinase
yhjJ,3678074,3679570,-,Function unknown
dctA,3679791,3681077,-,"Uptake of C-4 dicarboxylic acids; 3-fluoromalate resistance, D-tartrate resistant"
yhjK,3681260,3683215,-,Function unknown
yhjL,3683330,3686752,-,Function unknown
yhjM,3686784,3687890,-,Function unknown
yhjN,3687897,3690236,-,Function unknown
yhjO,3690247,3692865,-,Function unknown
yhjQ,3692862,3693590,-,Function unknown
yhjR,3693626,3693814,-,Function unknown
yhjS,3694087,3695658,+,Function unknown
yhjT,3695655,3695846,+,Function unknown
yhjU,3695843,3697522,+,Function unknown
yhjV,3698192,3699463,+,Function unknown
dppF,3699493,3700497,-,Uptake of dipeptides
dppD,3700494,3701477,-,Uptake of dipeptides
dppC,3701488,3702390,-,Uptake of dipeptides
dppB,3702400,3703419,-,Uptake of dipeptides
dppA,3703727,3705334,-,Uptake of dipeptides
proK,3706245,3706321,-,Proline tRNA1
yhjW,3706413,3708104,-,Function unknown
yhjX,3708428,3709636,-,Function unknown
yhjY,3709865,3710563,-,Function unknown
tag,3710721,3711284,+,"3-Methyladenine DNA glycosylase I, constitutive"
yiaC,3711281,3711721,+,Function unknown
bisC,3711690,3713909,-,"Biotin sulfoxide reductase, structural gene"
yiaD,3714176,3714835,+,Function unknown
yiaE,3714939,3715913,+,Ketogluconate reductase
yiaF,3715963,3716673,-,Function unknown
yiaG,3717107,3717397,+,Function unknown
cspA,3717678,3717890,+,Cold shock protein CS7.4; similar to Y-box DNA binding proteins of eukaryotes; transcription factor
yiaZ,3718077,3718229,-,Function unknown
glyS,3719957,3722026,-,"Glycyl-tRNA synthetase, beta-subunit"
glyQ,3722036,3722947,-,"Glycyl-tRNA synthetase, alpha-subunit"
yiaH,3723516,3724511,+,Function unknown
yiaA,3724553,3724990,-,Function unknown
yiaB,3725036,3725377,-,Function unknown
xylB,3725546,3727000,-,Xylulokinase
xylA,3727072,3728394,-,D-Xylose isomerase
xylF,3728760,3729752,+,"Xylose-binding protein, transport system"
xylG,3729830,3731371,+,Xylose transport gene
xylH,3731349,3732530,+,Xylose permease protein
xylR,3732608,3733786,+,Regulatory gene for xyl operon
bax,3733982,3734806,-,Gene transcribed divergently from malS; function unknown
malS,3735126,3737156,+,"Alpha-Amylase, periplasmic, MalT dependent"
avtA,3737334,3738587,+,"Alanine-alpha-ketoisovalerate transaminase, transaminase C"
ysaA,3738738,3739211,-,Function unknown
yiaJ,3739313,3740161,-,Function unknown
yiaK,3740362,3741360,+,Function unknown
yiaL,3741372,3741839,+,Function unknown
yiaM,3741957,3742430,+,Function unknown
yiaN,3742433,3743707,+,Function unknown
yiaO,3743724,3744710,+,Function unknown
lyx,3744714,3746210,+,Novel pathway for utilization of lyxose via xylulose through rhamnose and pentose pathways; xylulose kinase
sgbH,3746207,3746869,+,Putative hexulose-6-phosphate formaldehyde lyase
sgbU,3746862,3747722,+,Putative hexulose-6-phosphate isomerase
sgbE,3747716,3748411,+,Putative sugar isomerase
yiaT,3748758,3749498,-,Function unknown
yiaU,3749622,3750596,+,Function unknown
yiaV,3750593,3751729,-,Function unknown
yiaW,3751735,3752058,-,Function unknown
aldB,3752603,3754141,-,Aldehyde dehydrogenase
yiaY,3754306,3755454,-,Function unknown
selB,3755644,3757488,-,Novel elongation factor promoting selenocysteine incorporation (specific for selenocysteyl tRNA)
selA,3757485,3758876,-,"With SelD, converts serine residue to selenocysteine on tRNA"
yibF,3758974,3759582,-,Function unknown
rhsA,3759810,3763943,+,Encoded within repeats that are hotspots for chromosomal duplication formation; Function of protein is unknown
yibA,3763964,3764806,+,Function unknown
yibJ,3764848,3765549,+,Function unknown
yibG,3765804,3766265,+,Function unknown
yibS,3766266,3766517,+,Function unknown
yibH,3767870,3769006,-,Function unknown
yibI,3769009,3769371,-,Function unknown
mtlA,3769908,3771821,+,Mannitol-specific enzyme II of PTS
mtlD,3772051,3773199,+,Mannitol-1-phosphate dehydrogenase
mtlR,3773199,3773786,+,Mannitol repressor
yibL,3774292,3774654,+,Function unknown
lldP,3775026,3776681,+,L-lactate permease
lldR,3776681,3777457,+,Regulatory gene for lld operon
lldD,3777454,3778644,+,"L-lactate dehydrogenase, FMN dependent; Arc regulon"
yibK,3778842,3779315,+,Function unknown
cysE,3779368,3780189,-,Serine acetyltransferase
gpsA,3780269,3781288,-,sn-Glycerol-3-phosphate dehydrogenase [NAD(P)+]
secB,3781288,3781755,-,Protein export; chaperone SecB
grxC,3781818,3782069,-,Glutaredoxin 3
yibN,3782211,3782642,-,Function unknown
yibO,3782887,3784431,+,Function unknown
yibP,3784465,3785724,+,Function unknown
yibQ,3785728,3786687,+,Function unknown
yibD,3786674,3787708,-,Function unknown
tdh,3787947,3788972,-,Threonine dehydrogenase
kbl,3788982,3790178,-,2-Amino-3-ketobutyrate coenzyme A ligase
htrL,3790453,3791325,-,RfaH-regulated high-temperature gene
rfaD,3791614,3792546,+,"D-glycero-D-mannoheptose epimerase; heat-inducible, LPS; allows high-temperature growth"
rfaF,3792556,3793602,+,ADP-heptose;LPS heptosyltransferase 1
rfaC,3793606,3794565,+,"LPS core biosynthesis; proximal hexose; UDB-galactose: (glucosyl)LPS-1,6-galactosyltransferase"
rfaL,3794575,3795834,+,LPS core biosynthesis; O-antigen ligase
waaU,3795866,3796939,-,Adds terminal GlcNac side branch to the lipopolysaccharide core prior to attachment of the O antigen; not the same as Salmonella rfaK
rfaZ,3796972,3797823,-,LPS core biosynthesis
rfaY,3797894,3798592,-,LPS core biosynthesis
rfaJ,3798610,3799626,-,UDP-D-glucose: (galactosyl)lipopolysaccharide glucosyltransferase
rfaI,3799666,3800685,-,"UDP-D-galactose: (glucosyl)lipopolysaccharide-1,3-D-galactosyltransferase"
rfaB,3800685,3801794,-,"UDP-galactose: (glucosyl)lipopolysaccharide-1,6-galactosyltransferase"
rfaS,3801808,3802743,-,"LPS core, not affecting attachment of O antigen"
rfaP,3802780,3803577,-,LPS core biosynthesis; phosphorylation of core
rfaG,3803570,3804694,-,LPS core biosynthesis; glucosyltransferase I
rfaQ,3804691,3805725,-,Heptose region of LPS core
kdtA,3806167,3807444,+,3-deoxy-D-manno-octulosonate-lipid A transferase
kdtB,3807452,3807931,+,CMP-deoxy-D-manno-octulosonate-lipid A transferase
mutM,3807970,3808779,-,Formamidopyrimidine-DNA glycosylase; DNA repair; GC to TA
rpmG,3808877,3809044,-,50S ribosomal subunit protein L33
rpmB,3809065,3809301,-,50S ribosomal subunit protein L28
radC,3809518,3810186,-,Sensitivity to radiation
dfp,3810286,3811578,+,Flavoprotein affecting DNA synthesis and pantothenate metabolism
dut,3811559,3812014,+,Deoxyuridinetriphosphatase
ttk,3812121,3812717,+,"Function unknown, TetR, AcrR family of regulators"
pyrE,3812754,3813395,-,Orotate phosphoribosyltransferase
rph,3813461,3814176,-,RNase PH
yicC,3814303,3815166,+,Function unknown
dinD,3815387,3816211,+,Mutant cs phenotype filamentous with large nucleoid
yicG,3816501,3817118,+,Function unknown
yicF,3817115,3818797,-,Function unknown
gmk,3819055,3819678,+,Guanylate kinase
rpoZ,3819733,3820008,+,"RNA polymerase, omega subunit"
spoT,3820027,3822135,+,"Guanosine 5'-diphosphate, 3'-diphosphate pyrophosphatase, ppGpp synthetase II activity"
trmH,3822142,3822831,+,tRNA (Gm18) 2'-O-methyltransferase
recG,3822837,3824918,+,"Branch migration of Holliday junctions, junction-specific DNA helicase (see ruvABC)"
gltS,3825087,3826292,-,Glutamate permease
yicE,3826572,3827963,+,Function unknown
yicH,3828084,3829793,+,Function unknown
yicI,3829846,3832164,-,Function unknown
yicJ,3832174,3833556,-,Function unknown
selC,3833849,3833943,+,Selenocysteyl tRNAUCA (converted from serine tRNA)
yicK,3834580,3835764,+,Function unknown
yicL,3835875,3836798,+,Function unknown
nlpA,3836802,3837620,-,Lipoprotein in outer membrane vesicles
yicM,3838176,3839414,-,Function unknown
yicN,3839577,3840029,-,Function unknown
yicO,3840082,3841416,-,Function unknown
yicP,3841591,3843357,+,Function unknown
uhpT,3843403,3844794,-,Fosfomycin sensitivity; sugar P transport system; transport protein for hexose P's
uhpC,3844932,3846251,-,"Membrane protein controlling UhpA activity, in concert with UhpB"
uhpB,3846261,3847763,-,"Membrane protein controlling UhpA activity, sensor kinase"
uhpA,3847763,3848353,-,Response regulator (2-component system) required for uhpT transcription
ilvN,3848429,3848719,-,Acetohydroxy acid synthase I (AHAS-I); acetolactate synthase I (ALS-I); valine sensitive; small subunit
ilvB,3848723,3850411,-,Acetohydroxy acid synthase I (AHAS-I); acetolactate synthase I (ALS-I); valine sensitive; large subunit
ivbL,3850517,3850615,-,ilvB operon leader peptide
ysdA,3851070,3851269,+,Function unknown
emrD,3851549,3852733,+,Multidrug resistance pump family
yidF,3852741,3853238,-,Function unknown
yidG,3853235,3853597,-,Function unknown
yidH,3853587,3853934,-,Function unknown
yidI,3854042,3854491,+,Function unknown
yidJ,3854538,3856031,-,Function unknown
yidK,3856028,3857743,-,Function unknown
yidL,3857880,3858803,+,Function unknown
glvG,3858976,3859614,-,Putative 6-phospho-beta-glucosidase
glvB,3859614,3860099,-,Putative arbutin-like PTS system enzyme IIB
glvC,3860124,3861230,-,Putative arbutin-like PTS system enzyme IIC
yidP,3861526,3862242,+,Function unknown
yidE,3862239,3863900,-,Function unknown
ibpB,3864096,3864524,-,"Chaperone, heat-inducible protein of HSP20 family"
ibpA,3864636,3865049,-,"Chaperone, heat-inducible protein of HSP20 family"
yidQ,3865355,3865687,+,Function unknown
yidR,3865689,3866903,-,Function unknown
yidS,3867004,3868068,+,Function unknown
dgoT,3868065,3869357,-,Galactonate transport
dgoA,3869477,3871240,-,2-Oxo-3-deoxygalactonate 6-phosphate aldolase
dgoK,3871224,3872102,-,2-Oxo-3-deoxygalactonate kinase
dgoR,3872099,3872787,-,Regulatory; growth on 2-keto-3-deoxygalactonate
yidX,3873065,3873722,+,Function unknown
yidA,3873768,3874580,-,Function unknown
yidB,3874695,3875093,-,Function unknown
gyrB,3875333,3877747,-,"DNA gyrase, subunit B; novobiocin, coumermycin resistance"
recF,3877776,3878849,-,Recombination and repair
dnaN,3878849,3879949,-,"DNA biosynthesis; sliding clamp subunit, required for high processivity; DNA polymerase III beta-subunit"
dnaA,3879954,3881357,-,DNA biosynthesis; initiation; binding protein
rpmH,3881965,3882105,+,50S ribosomal subunit protein L34
rnpA,3882122,3882481,+,"RNase P, protein component; involved in tRNA and 4.5S RNA-processing"
yidD,3882445,3882702,+,Function unknown
yidC,3882705,3884351,+,Function unknown
trmE,3884457,3885821,+,"tRNA base modification, 5-methyl-aminoethyl, 2-thiouridine synthesis"
tnaL,3886064,3886138,+,Regulatory leader peptide for tna operon
tnaA,3886359,3887774,+,Tryptophanase
tnaB,3887865,3889112,+,Low-affinity Trp permease
yidY,3889244,3890419,+,Function unknown
yidZ,3890394,3891353,+,Function unknown
yieE,3891498,3892259,+,Function unknown
yieF,3892281,3892847,+,Function unknown
yieG,3892901,3894238,-,Function unknown
yieH,3894403,3895068,+,Function unknown
yieI,3895135,3895602,+,Function unknown
yieJ,3895651,3896238,+,Function unknown
yieK,3896311,3897021,-,Function unknown
yieL,3897036,3898205,-,Function unknown
yieC,3898232,3899848,-,Function unknown
bglB,3899917,3901329,-,Phospho-beta-glucosidase B; growth on arbutin or salicin when activated
bglF,3901348,3903225,-,BglG kinase; transport
bglG,3903359,3904195,-,"Positive regulatory gene, RNA-binding protein; regulated by phosphorylation"
phoU,3904481,3905206,-,"P uptake, high-affinity P-specific transport system, regulatory gene"
pstB,3905221,3905994,-,High-affinity P-specific transport; cytoplasmic ATP-binding protein
pstA,3906177,3907067,-,High-affinity P-specific transport
pstC,3907067,3908026,-,High-affinity P-specific transport; cytoplasmic membrane component
pstS,3908113,3909153,-,High-affinity P-specific transport; periplasmic P binding
glmS,3909467,3911296,-,Glucosamine-6-phosphate synthase
glmU,3911458,3912828,-,Bifunctional glucosamine-1-phosphate acetyltransferase and N-acetylglucosamine-1-P uridyltransferase
atpC,3913181,3913600,-,"Membrane-bound ATP synthase, F1 sector, epsilon-subunit"
atpD,3913621,3915003,-,"Membrane-bound ATP synthase, F1 sector, beta-subunit"
atpG,3915030,3915893,-,"Membrane-bound ATP synthase, F1 sector, gamma-subunit"
atpA,3915944,3917485,-,"Membrane-bound ATP synthase, F1 sector, alpha-subunit"
atpH,3917498,3918031,-,"Membrane-bound ATP synthase, F1 sector, delta-subunit"
atpF,3918046,3918516,-,"Membrane-bound ATP synthase, F0 sector, subunit b"
atpE,3918578,3918817,-,"Membrane-bound ATP synthase, F0 sector, subunit c; DCCD-binding"
atpB,3918864,3919679,-,"Membrane-bound ATP synthase, F0 sector, subunit a"
atpI,3919688,3920068,-,"Membrane-bound ATP synthase subunit, F1-F0-type proton-ATPase"
gidB,3920685,3921308,-,"Glucose effects on cell division, perhaps replication"
gidA,3921372,3923261,-,"Glucose effects on cell division, perhaps replication"
mioC,3923640,3924083,-,Initiation of replication; transcription of 16-kDa protein proceeds through oriC
asnC,3924173,3924631,-,"Regulatory gene for asnA, asnC, gidA"
asnA,3924783,3925775,+,Asparagine synthetase A
yieM,3925780,3927230,-,Function unknown
yieN,3927224,3928720,-,Function unknown
trkD,3928943,3930810,+,Major constitutive K+ transport system
rbsD,3930941,3931396,+,D-ribose high-affinity transport system
rbsA,3931404,3932909,+,D-ribose high-affinity transport system (may have chemotaxis function)
rbsC,3932914,3933879,+,D-ribose high-affinity transport system
rbsB,3933904,3934794,+,D-ribose periplasmic binding protein
rbsK,3934920,3935849,+,Ribokinase
rbsR,3935853,3936845,+,Regulatory gene for rbs operon
yieO,3936811,3938238,-,Function unknown
yieP,3938261,3938950,-,Function unknown
rrsC,3939431,3940971,+,16S RNA of rrnC operon
gltU,3941057,3941132,+,Glutamate tRNA2
rrlC,3941326,3944231,+,23S rRNA of rrnC operon
rrfC,3944324,3944443,+,5S rRNA of rrnC operon
aspT,3944496,3944572,+,Aspartate tRNA1 triplicated gene
trpT,3944581,3944656,+,Tryptophan tRNA
yifD,3944752,3945590,-,Function unknown
yifE,3945709,3946047,+,Function unknown
yifB,3946072,3947622,-,Function unknown
ilvL,3947945,3948043,+,ilvG operon leader peptide
ilvG,3948183,3949827,+,Acetohydroxy acid synthase II (AHAS-II); acetolactate synthase II (ALS-II); valine insensitive; large subunit
ilvM,3949824,3950087,+,Acetohydroxy acid synthase II (AHAS-II); acetolactate synthase II (ALS-II); valine insensitive; small subunit
ilvE,3950107,3951036,+,Branched-chain amino acid aminotransferase
ilvD,3951101,3952949,+,Dihydroxyacid dehydrase
ilvA,3952952,3954496,+,Threonine deaminase
ilvY,3954548,3955441,-,Positive regulator for ilvC
ilvC,3955591,3957066,+,Ketol-acid reductoisomerase
ppiC,3957150,3957431,-,Peptidylprolyl-cis-trans isomerase C
yifN,3957627,3958075,-,Function unknown
rep,3958292,3960313,+,"Rep helicase, a single-stranded DNA-dependent ATPase"
gpp,3960360,3961844,-,Guanosine pentaphosphatase activity; exopolyphosphatase
rhlB,3961980,3963245,-,DEAD-box protein family; ATP-dependent RNA helicase-like protein
trxA,3963376,3963705,+,Thioredoxin
rho,3964032,3965291,+,Transcription termination factor Rho
rfe,3965531,3966634,+,"UDP-GlcNAc:undecaprenylphosphate GlcNAc-1-P transferase; common and O-antigen synthesis, tunicamycin sensitivity"
wzzE,3966646,3967692,+,Involved in lipopolysaccharide biosynthesis; putative regulator of lipopolysaccharide O-chain length
rffE,3967748,3968875,+,Synthesis of enterobacterial common antigen; UDP-GlcNAc-2-epimerase
rffD,3968872,3970134,+,Synthesis of enterobacterial common antigen; UDP-ManNAcA dehydrogenase
rffG,3970134,3971201,+,Dehydratase activity
rffH,3971220,3972101,+,Hypothetical protein in rffE operon
rffC,3972208,3972753,+,Synthesis of enterobacterial common antigen and chain elongation
rffA,3972758,3973888,+,Lipid III biosynthesis in common antigen synthesis
wzxE,3973890,3975140,+,Involved in lipopolysaccharide biosynthesis
yifM,3975137,3976217,+,Function unknown
rffT,3976214,3977566,+,Synthesis of enterobacterial common antigen; Fuc4NAc transferase
rffM,3977569,3978309,+,UDP-ManNAcA transferase
yifK,3978500,3979885,+,Function unknown
argX,3979988,3980064,+,Arginine tRNA3
hisR,3980123,3980198,+,Histidine tRNA
leuT,3980219,3980305,+,"Leucine tRNA1, duplicate with leuVPQ"
proM,3980348,3980424,+,Proline tRNA3
aslB,3980571,3981806,+,Suppresses gpp mutants; putative arylsulfatase
aslA,3981965,3983620,-,Suppresses gpp mutants; putative arylsulfatase
hemY,3984299,3985495,-,Member of uro (hemC) operon
hemX,3985498,3986679,-,Uroporphyrinogen III methylase
hemD,3986701,3987441,-,Uroporphyrinogen III cosynthase; neomycin sensitivity
hemC,3987438,3988379,-,Porphobilinogen deaminase; neomycin sensitivity
cyaA,3988766,3991312,+,Adenylate cyclase
cyaY,3991352,3991672,-,"Function unknown, convergent upon cyaA"
yifL,3992135,3992338,+,Function unknown
dapF,3992375,3993199,+,Diaminopimelate epimerase
yigA,3993196,3993903,+,Function unknown
xerC,3993900,3994796,+,"Recombinase, site specific"
yigB,3994796,3995512,+,Function unknown
uvrD,3995596,3997758,+,DNA-dependent ATPaseI-DNA helicase II; increased rates of spontaneous mutagenesis
yigE,3997905,3998668,-,Function unknown
corA,3999038,3999988,+,"Mg2+ transport system; mutants resistant to Co2+, Mn2+, and Ni2+, insensitive to Ca2+"
yigF,4000031,4000411,-,Function unknown
yigG,4000425,4000841,-,Function unknown
rarD,4000900,4001789,-,Chloramphenicol resistance
yigI,4001841,4002308,-,Function unknown
pldA,4002473,4003342,+,Detergent-resistant phospholipase A activity
recQ,4003475,4005301,+,"Conjugational recombination and repair, presynaptic stage of recombination; lexA regulon; RecQ helicase"
yigJ,4005365,4005984,+,Function unknown
yigK,4006046,4006665,-,Function unknown
pldB,4006776,4007798,+,Lysophospholipase L2
yigL,4007806,4008590,+,Function unknown
yigM,4008666,4009534,+,Function unknown
metR,4009453,4010406,-,Positive regulatory gene for metE and metH and autogenous regulation
metE,4010643,4012904,+,Tetrahydropteroyltriglutamate methyltransferase
ysgA,4012944,4013719,-,Function unknown
udp,4014018,4014779,+,Uridine phosphorylase
yigN,4014920,4016347,+,Function unknown
ubiE,4016442,4017197,+,"Reaction: 2-octaprenyl-6-methoxy-1,4-benzoquinone to 2-octaprenyl-3-methyl-6-methoxy-1,4-benzoquinone"
yigP,4017211,4017816,+,Function unknown
aarF,4017813,4019453,+,Regulator of 2'-N-acetyltransferase; involved in respiratory cofactor ubiquinone production
tatA,4019532,4019801,+,Involved in membrane translocation of periplasmic proteins that preserves folded structures and bound ligands
tatB,4019805,4020322,+,Involved in membrane translocation of periplasmic proteins that preserves folded structures and bound ligands
tatC,4020325,4021101,+,Involved in membrane translocation of periplasmic proteins that preserves folded structures and bound ligands
tatD,4021131,4021926,+,Involved in membrane translocation of periplasmic proteins that preserves folded structures and bound ligands
rfaH,4021923,4022411,-,"Regulates LPS core biosynthesis, transcriptional activator"
yigC,4022578,4024071,+,Function unknown
ubiB,4024117,4024818,+,2-octaprenylphenol2-octaprenyl-6-methoxyphenol; flavin reductase
fadA,4025199,4026362,-,Thiolase I
fadB,4026372,4028561,-,"3-hydroxyacyl-CoA dehydrogenase: 3-hydroxyacyl-CoA epimerase; dodecenoyl-CoA-delta-isomerase, enoyl-CoA hydratase; fatty acid oxidation complex, alpha-subunit; four activities"
pepQ,4028751,4030082,+,Proline dipeptidase
yigZ,4030082,4030696,+,Function unknown
trkH,4030735,4032185,+,Potassium transport membrane protein subunit; binding of TrkA to membrane; mutants require high K+
hemG,4032197,4032742,+,Protoporphyrinogen oxidase activity; neomycin sensitivity
rrsA,4033120,4034661,+,16S RNA of rrnA operon
ileT,4034730,4034806,+,"Isoleucine tRNA1, triplicate"
alaT,4034849,4034924,+,Alanine tRNA 1B; rrnA operon
rrlA,4035099,4038003,+,23S rRNA of rrnA operon
rrfA,4038097,4038216,+,5S rRNA of rrnA operon
mobB,4038486,4038998,-,"Molybdenum cofactor biosynthesis, putative nucleotide binding site"
yihD,4039649,4039918,+,Function unknown
mobA,4038995,4039579,-,MPT guanine dinucleotide synthesis; chlorate resistance
yihE,4039996,4040982,+,Function unknown
dsbA,4040999,4041625,+,"Disulfide oxidoreductase, periplasmic protein disulfide-isomerase; role in 34063 cytochrome c synthesis"
yihF,4041779,4043209,+,Function unknown
yihG,4043250,4044182,-,Poly(A) polymerase II
polA,4044546,4047332,+,DNA polymerase I
spf,4047479,4047587,+,Spot 42 RNA
yihA,4047713,4048345,-,Function unknown
yihI,4048927,4049436,+,Function unknown
hemN,4049625,4050998,+,"Coproporphyrinogen III oxidase, oxygen-independent, required for cytochrome B and cytochrome C synthesis during anaerobic growth"
glnG,4051449,4052858,-,Nitrogen regulator I
glnL,4052870,4053919,-,"Bifunctional protein kinase/phosphatase nitrogen regulator II, NRII"
glnA,4054205,4055614,-,Glutamine synthetase
typA,4055987,4057762,+,Phosphorylated protein involved in global gene regulation
yihL,4058026,4058736,+,Function unknown
yihM,4058744,4059724,+,Function unknown
yihN,4059826,4061091,+,Function unknown
yshA,4061182,4061874,-,Function unknown
yihO,4061889,4063346,-,Function unknown
yihP,4063389,4064774,-,Function unknown
yihQ,4064820,4066856,-,Function unknown
yihR,4067055,4067981,-,Function unknown
yihS,4068095,4069336,-,Function unknown
yihT,4069353,4070231,-,Function unknown
yihU,4070255,4071151,-,Function unknown
yihV,4071319,4072215,+,Function unknown
yihW,4072249,4073034,+,Function unknown
yihX,4073133,4073732,+,Function unknown
rbn,4073726,4074598,+,"RNase BN, tRNA processing enzyme"
yihZ,4074595,4075032,+,Function unknown
yiiD,4075029,4076018,+,Function unknown
yiiE,4076877,4077089,+,Function unknown
yiiF,4077331,4077549,+,Function unknown
fdhE,4077879,4078808,-,Homologous to fdnC and -B of Salmonella spp.
fdoI,4078805,4079440,-,Formate dehydrogenase-O subunit cytochrome b556
fdoH,4079437,4080339,-,"Formate dehydrogenase-O subunit, Fe-S"
fdoG,4080352,4083402,-,"Formate dehydrogenase-O subunit, major"
fdhD,4083596,4084429,+,Homologous to fdnC and -B of Salmonella spp.
yiiG,4084582,4085637,+,Function unknown
frvR,4085688,4087436,-,Putative frv operon regulator
frvX,4087436,4088506,-,Putative frv operon gene of unknown function
frvB,4088496,4089947,-,Putative fructose-like PTS system enzyme IIB
frvA,4089958,4090404,-,Putative fructose-like PTS system enzyme IIA
yiiL,4090705,4091019,-,Function unknown
rhaD,4091029,4091853,-,Rhamnulosephosphate aldolase D
rhaA,4092304,4093563,-,L-Rhamnose isomerase
rhaB,4093560,4095029,-,Rhamnulokinase
rhaS,4095317,4096153,+,Positive regulatory gene
rhaR,4096137,4097075,+,Positive regulatory gene
rhaT,4097072,4098106,-,"Rhamnose permease; L-rhamnose-H+ symporter, membrane protein"
sodA,4098391,4099011,+,"Member of SoxRS regulon; superoxide dismutase, Mn"
kdgT,4099271,4100254,+,"Ketodeoxygluconate transport system, structural gene"
yiiM,4100403,4101077,+,Function unknown
cpxA,4101183,4102556,-,"Membrane sensor in two-component cpxAR signal transduction system; Kan-r, phage Q resistant; L-serine growth"
cpxR,4102553,4103251,-,Regulator in two-component cpxAR
cpxP,4103401,4103900,+,"Periplasmic protein, CpxA/R activated, induced in alkaline pH; suppresses toxic envelope protein effects"
yiiP,4104049,4104951,+,Function unknown
pfkA,4105132,4106094,+,6-Phosphofructokinase I
sbp,4106414,4107403,+,Periplasmic sulfate-binding protein
cdh,4107510,4108265,+,CDP-diglyceride hydrolase
tpiA,4108320,4109087,-,Triosephosphate isomerase
yiiQ,4109195,4109794,-,Function unknown
yiiR,4109895,4110335,+,Function unknown
yiiS,4110547,4110846,+,Function unknown
yiiT,4110873,4111301,+,Function unknown
fpr,4111306,4112052,-,Ferredoxin NADP+ reductase; anaerobic
glpX,4112149,4113159,-,May be involved in glycerol metabolism but not required for growth on glycerol
glpK,4113294,4114802,-,Glycerol kinase
glpF,4114825,4115670,-,Glycerol facilitator
yiiU,4116095,4116340,+,Function unknown
menG,4116425,4116910,-,S-adenosylmethionine:2-demethylmenaquinone methyltransferase
menA,4117003,4117929,-,Dimethylmenaquinone formation in vitamin K2 biosynthesis
hslU,4117996,4119327,-,Heat-inducible ATP-dependent protease HslVU; heat shock protein D48.5
hslV,4119337,4119867,-,Heat shock regulon
