qseqid	sseqid	A_gene	B_gene
sp|P75783|YBIO_ECOLI	sp|P75783|YBIO_ECOLI	ybiO	ybiO
sp|P75785|OPGE_ECOLI	sp|P75785|OPGE_ECOLI	opgE	opgE
sp|P75788|YBIR_ECOLI	sp|P75788|YBIR_ECOLI	ybiR	ybiR
sp|P75791|YBIU_ECOLI	sp|P75791|YBIU_ECOLI	ybiU	ybiU
sp|P75792|SUPH_ECOLI	sp|P75792|SUPH_ECOLI	ybiV	ybiV
sp|P75793|GRE2_ECOLI	sp|P75793|GRE2_ECOLI	ybiW	ybiW
sp|P75794|PFLE_ECOLI	sp|P75794|PFLE_ECOLI	ybiY	ybiY
sp|P75796|GSIA_ECOLI	sp|P75796|GSIA_ECOLI	gsiA	gsiA
sp|P75797|GSIB_ECOLI	sp|P75797|GSIB_ECOLI	gsiB	gsiB
sp|P75798|GSIC_ECOLI	sp|P75798|GSIC_ECOLI	gsiC	gsiC
sp|P75799|GSID_ECOLI	sp|P75799|GSID_ECOLI	gsiD	gsiD
sp|P75800|PDEI_ECOLI	sp|P75800|PDEI_ECOLI	pdeI	pdeI
sp|P75801|DGCI_ECOLI	sp|P75801|DGCI_ECOLI	dgcI	dgcI
sp|P75804|YLII_ECOLI	sp|P75804|YLII_ECOLI	yliI	yliI
sp|P75806|YBJG_ECOLI	sp|P75806|YBJG_ECOLI	ybjG	ybjG
sp|P75809|YBJI_ECOLI	sp|P75809|YBJI_ECOLI	ybjI	ybjI
sp|P75810|YBJJ_ECOLI	sp|P75810|YBJJ_ECOLI	ybjJ	ybjJ
sp|P75811|RCDA_ECOLI	sp|P75811|RCDA_ECOLI	rcdA	rcdA
sp|P75817|RLMC_ECOLI	sp|P75817|RLMC_ECOLI	rlmC	rlmC
sp|P75818|YBJP_ECOLI	sp|P75818|YBJP_ECOLI	ybjP	ybjP
sp|P75820|AMID_ECOLI	sp|P75820|AMID_ECOLI	amiD	amiD
sp|P75821|YBJS_ECOLI	sp|P75821|YBJS_ECOLI	ybjS	ybjS
sp|P75822|YBJT_ECOLI	sp|P75822|YBJT_ECOLI	ybjT	ybjT
sp|P75823|LTAE_ECOLI	sp|P75823|LTAE_ECOLI	ltaE	ltaE
sp|P75824|HCR_ECOLI	sp|P75824|HCR_ECOLI	hcr	hcr
sp|P75825|HCP_ECOLI	sp|P75825|HCP_ECOLI	hcp	hcp
sp|P75826|LYSO_ECOLI	sp|P75826|LYSO_ECOLI	lysO	lysO
sp|P75828|YBJD_ECOLI	sp|P75828|YBJD_ECOLI	ybjD	ybjD
sp|P75829|YBJX_ECOLI	sp|P75829|YBJX_ECOLI	ybjX	ybjX
sp|P75830|MACA_ECOLI	sp|P75830|MACA_ECOLI	macA	macA
sp|P75831|MACB_ECOLI	sp|P75831|MACB_ECOLI	macB	macB
sp|P75835|YCAM_ECOLI	sp|P75835|YCAM_ECOLI	ycaM	ycaM
sp|P75836|YCAN_ECOLI	sp|P75836|YCAN_ECOLI	ycaN	ycaN
sp|P75838|YCAO_ECOLI	sp|P75838|YCAO_ECOLI	ycaO	ycaO
sp|P75839|YCAP_ECOLI	sp|P75839|YCAP_ECOLI	ycaP	ycaP
sp|P75843|YCAQ_ECOLI	sp|P75843|YCAQ_ECOLI	ycaQ	ycaQ
sp|P75849|GLO22_ECOLI	sp|P75849|GLO22_ECOLI	gloC	gloC
sp|P75851|SSUC_ECOLI	sp|P75851|SSUC_ECOLI	ssuC	ssuC
sp|P75853|SSUA_ECOLI	sp|P75853|SSUA_ECOLI	ssuA	ssuA
sp|P75855|ELFA_ECOLI	sp|P75855|ELFA_ECOLI	elfA	elfA
sp|P75856|ELFD_ECOLI	sp|P75856|ELFD_ECOLI	elfD	elfD
sp|P75857|ELFC_ECOLI	sp|P75857|ELFC_ECOLI	elfC	elfC
sp|P75858|ELFG_ECOLI	sp|P75858|ELFG_ECOLI	elfG	elfG
sp|P75859|YCBU_ECOLI	sp|P75859|YCBU_ECOLI	ycbU	ycbU
sp|P75860|YCBV_ECOLI	sp|P75860|YCBV_ECOLI	ycbV	ycbV
sp|P75862|ZAPC_ECOLI	sp|P75862|ZAPC_ECOLI	zapC	zapC
sp|P75863|YCBX_ECOLI	sp|P75863|YCBX_ECOLI	ycbX	ycbX
sp|P75864|RLMKL_ECOLI	sp|P75864|RLMKL_ECOLI	rlmL	rlmL
sp|P75867|LONH_ECOLI	sp|P75867|LONH_ECOLI	ycbZ	ycbZ
sp|P75869|SXY_ECOLI	sp|P75869|SXY_ECOLI	sxy	sxy
sp|P75870|YCCS_ECOLI	sp|P75870|YCCS_ECOLI	yccS	yccS
sp|P75874|YCCU_ECOLI	sp|P75874|YCCU_ECOLI	yccU	yccU
sp|P75876|RLMI_ECOLI	sp|P75876|RLMI_ECOLI	rlmI	rlmI
sp|P75882|GFCD_ECOLI	sp|P75882|GFCD_ECOLI	gfcD	gfcD
sp|P75883|GFCC_ECOLI	sp|P75883|GFCC_ECOLI	gfcC	gfcC
sp|P75884|GFCB_ECOLI	sp|P75884|GFCB_ECOLI	gfcB	gfcB
sp|P75885|GFCA_ECOLI	sp|P75885|GFCA_ECOLI	gfcA	gfcA
sp|P75892|RUTG_ECOLI	sp|P75892|RUTG_ECOLI	rutG	rutG
sp|P75893|RUTF_ECOLI	sp|P75893|RUTF_ECOLI	rutF	rutF
sp|P75894|RUTE_ECOLI	sp|P75894|RUTE_ECOLI	rutE	rutE
sp|P75895|RUTD_ECOLI	sp|P75895|RUTD_ECOLI	rutD	rutD
sp|P75897|RUTB_ECOLI	sp|P75897|RUTB_ECOLI	rutB	rutB
sp|P75898|RUTA_ECOLI	sp|P75898|RUTA_ECOLI	rutA	rutA
sp|P75901|EFEU_ECOLI	sp|P75901|EFEU_ECOLI	efeU	efeU
sp|P75905|PGAC_ECOLI	sp|P75905|PGAC_ECOLI	pgaC	pgaC
sp|P75906|PGAB_ECOLI	sp|P75906|PGAB_ECOLI	pgaB	pgaB
sp|P75908|DGCT_ECOLI	sp|P75908|DGCT_ECOLI	dgcT	dgcT
sp|P75910|YCDU_ECOLI	sp|P75910|YCDU_ECOLI	ycdU	ycdU
sp|P75913|GHRA_ECOLI	sp|P75913|GHRA_ECOLI	ghrA	ghrA
sp|P75914|YCDX_ECOLI	sp|P75914|YCDX_ECOLI	ycdX	ycdX
sp|P75915|YCDY_ECOLI	sp|P75915|YCDY_ECOLI	ycdY	ycdY
sp|P75916|YCDZ_ECOLI	sp|P75916|YCDZ_ECOLI	ycdZ	ycdZ
sp|P75917|YMDA_ECOLI	sp|P75917|YMDA_ECOLI	ymdA	ymdA
sp|P75919|CLSC_ECOLI	sp|P75919|CLSC_ECOLI	clsC	clsC
sp|P75920|OPGC_ECOLI	sp|P75920|OPGC_ECOLI	mdoC	mdoC
sp|P75925|C56I_ECOLI	sp|P75925|C56I_ECOLI	yceJ	yceJ
sp|P75931|YCEM_ECOLI	sp|P75931|YCEM_ECOLI	yceM	yceM
sp|P75933|FLGA_ECOLI	sp|P75933|FLGA_ECOLI	flgA	flgA
sp|P75936|FLGD_ECOLI	sp|P75936|FLGD_ECOLI	flgD	flgD
sp|P75937|FLGE_ECOLI	sp|P75937|FLGE_ECOLI	flgE	flgE
sp|P75938|FLGF_ECOLI	sp|P75938|FLGF_ECOLI	flgF	flgF
sp|P75942|FLGJ_ECOLI	sp|P75942|FLGJ_ECOLI	flgJ	flgJ
sp|P75946|YCFL_ECOLI	sp|P75946|YCFL_ECOLI	ycfL	ycfL
sp|P75948|THIK_ECOLI	sp|P75948|THIK_ECOLI	thiK	thiK
sp|P75949|NAGZ_ECOLI	sp|P75949|NAGZ_ECOLI	nagZ	nagZ
sp|P75952|COMR_ECOLI	sp|P75952|COMR_ECOLI	comR	comR
sp|P75954|YCFS_ECOLI	sp|P75954|YCFS_ECOLI	ycfS	ycfS
sp|P75955|YCFT_ECOLI	sp|P75955|YCFT_ECOLI	ycfT	ycfT
sp|P75957|LOLD_ECOLI	sp|P75957|LOLD_ECOLI	lolD	lolD
sp|P75958|LOLE_ECOLI	sp|P75958|LOLE_ECOLI	lolE	lolE
sp|P75959|NAGK_ECOLI	sp|P75959|NAGK_ECOLI	nagK	nagK
sp|P75960|NPD_ECOLI	sp|P75960|NPD_ECOLI	cobB	cobB
sp|P75961|YCFZ_ECOLI	sp|P75961|YCFZ_ECOLI	ycfZ	ycfZ
sp|P75962|YMFA_ECOLI	sp|P75962|YMFA_ECOLI	ymfA	ymfA
sp|P75966|RLUE_ECOLI	sp|P75966|RLUE_ECOLI	rluE	rluE
sp|P75967|YMFD_ECOLI	sp|P75967|YMFD_ECOLI	ymfD	ymfD
sp|P75968|YMFE_ECOLI	sp|P75968|YMFE_ECOLI	ymfE	ymfE
sp|P75969|INTE_ECOLI	sp|P75969|INTE_ECOLI	intE	intE
sp|P75970|VXIS_ECOLI	sp|P75970|VXIS_ECOLI	xisE	xisE
sp|P75971|YMFH_ECOLI	sp|P75971|YMFH_ECOLI	ymfH	ymfH
sp|P75972|YMFI_ECOLI	sp|P75972|YMFI_ECOLI	ymfI	ymfI
sp|P75973|YMFJ_ECOLI	sp|P75973|YMFJ_ECOLI	ymfJ	ymfJ
sp|P75974|COHE_ECOLI	sp|P75974|COHE_ECOLI	cohE	cohE
sp|P75975|CROE_ECOLI	sp|P75975|CROE_ECOLI	croE	croE
sp|P75976|YMFL_ECOLI	sp|P75976|YMFL_ECOLI	ymfL	ymfL
sp|P75977|YMFM_ECOLI	sp|P75977|YMFM_ECOLI	ymfM	ymfM
sp|P75978|YMFN_ECOLI	sp|P75978|YMFN_ECOLI	ymfN	ymfN
sp|P75979|YMFR_ECOLI	sp|P75979|YMFR_ECOLI	ymfR	ymfR
sp|P75980|BEEE_ECOLI	sp|P75980|BEEE_ECOLI	beeE	beeE
sp|P75981|JAYE_ECOLI	sp|P75981|JAYE_ECOLI	jayE	jayE
sp|P75982|YMFQ_ECOLI	sp|P75982|YMFQ_ECOLI	ymfQ	ymfQ
sp|P75987|IRAM_ECOLI	sp|P75987|IRAM_ECOLI	iraM	iraM
sp|P75988|YCGX_ECOLI	sp|P75988|YCGX_ECOLI	ycgX	ycgX
sp|P75989|BLUR_ECOLI	sp|P75989|BLUR_ECOLI	bluR	bluR
sp|P75990|BLUF_ECOLI	sp|P75990|BLUF_ECOLI	bluF	bluF
sp|P75991|YCGZ_ECOLI	sp|P75991|YCGZ_ECOLI	ycgZ	ycgZ
sp|P75992|YMGA_ECOLI	sp|P75992|YMGA_ECOLI	ymgA	ymgA
sp|P75993|ARIR_ECOLI	sp|P75993|ARIR_ECOLI	ariR	ariR
sp|P75994|YMGC_ECOLI	sp|P75994|YMGC_ECOLI	ymgC	ymgC
sp|P75995|PDEG_ECOLI	sp|P75995|PDEG_ECOLI	pdeG	pdeG
sp|P76000|YCGI_ECOLI	sp|P76000|YCGI_ECOLI	ycgI	ycgI
sp|P76001|YCGJ_ECOLI	sp|P76001|YCGJ_ECOLI	ycgJ	ycgJ
sp|P76002|PLIG_ECOLI	sp|P76002|PLIG_ECOLI	pliG	pliG
sp|P76004|YCGM_ECOLI	sp|P76004|YCGM_ECOLI	ycgM	ycgM
sp|P76007|NHAP2_ECOLI	sp|P76007|NHAP2_ECOLI	cvrA	cvrA
sp|P76008|LDCA_ECOLI	sp|P76008|LDCA_ECOLI	ldcA	ldcA
sp|P76010|YCGR_ECOLI	sp|P76010|YCGR_ECOLI	ycgR	ycgR
sp|P76011|YMGE_ECOLI	sp|P76011|YMGE_ECOLI	ymgE	ymgE
sp|P76012|YCGY_ECOLI	sp|P76012|YCGY_ECOLI	ycgY	ycgY
sp|P76014|DHAL_ECOLI	sp|P76014|DHAL_ECOLI	dhaL	dhaL
sp|P76015|DHAK_ECOLI	sp|P76015|DHAK_ECOLI	dhaK	dhaK
sp|P76016|DHAR_ECOLI	sp|P76016|DHAR_ECOLI	dhaR	dhaR
sp|P76017|YCGV_ECOLI	sp|P76017|YCGV_ECOLI	ycgV	ycgV
sp|P76023|YCHS_ECOLI	sp|P76023|YCHS_ECOLI	ychS	ychS
sp|P76027|OPPD_ECOLI	sp|P76027|OPPD_ECOLI	oppD	oppD
sp|P76034|YCIT_ECOLI	sp|P76034|YCIT_ECOLI	yciT	yciT
sp|P76035|YCIW_ECOLI	sp|P76035|YCIW_ECOLI	yciW	yciW
sp|P76037|PUUP_ECOLI	sp|P76037|PUUP_ECOLI	puuP	puuP
sp|P76038|PUUD_ECOLI	sp|P76038|PUUD_ECOLI	puuD	puuD
sp|P76041|GGAP_ECOLI	sp|P76041|GGAP_ECOLI	ycjM	ycjM
sp|P76042|YCJN_ECOLI	sp|P76042|YCJN_ECOLI	ycjN	ycjN
sp|P76043|YCJQ_ECOLI	sp|P76043|YCJQ_ECOLI	ycjQ	ycjQ
sp|P76044|YCJR_ECOLI	sp|P76044|YCJR_ECOLI	ycjR	ycjR
sp|P76045|OMPG_ECOLI	sp|P76045|OMPG_ECOLI	ompG	ompG
sp|P76046|YCJX_ECOLI	sp|P76046|YCJX_ECOLI	ycjX	ycjX
sp|P76049|YCJY_ECOLI	sp|P76049|YCJY_ECOLI	ycjY	ycjY
sp|P76052|ABGB_ECOLI	sp|P76052|ABGB_ECOLI	abgB	abgB
sp|P76053|SMRA_ECOLI	sp|P76053|SMRA_ECOLI	smrA	smrA
sp|P76055|TTCA_ECOLI	sp|P76055|TTCA_ECOLI	ttcA	ttcA
sp|P76056|INTR_ECOLI	sp|P76056|INTR_ECOLI	intR	intR
sp|P76057|YDAQ_ECOLI	sp|P76057|YDAQ_ECOLI	ydaQ	ydaQ
sp|P76061|YDAG_ECOLI	sp|P76061|YDAG_ECOLI	ydaG	ydaG
sp|P76062|RACR_ECOLI	sp|P76062|RACR_ECOLI	racR	racR
sp|P76063|YDAS_ECOLI	sp|P76063|YDAS_ECOLI	ydaS	ydaS
sp|P76064|YDAT_ECOLI	sp|P76064|YDAT_ECOLI	ydaT	ydaT
sp|P76065|YDAU_ECOLI	sp|P76065|YDAU_ECOLI	ydaU	ydaU
sp|P76066|YDAW_ECOLI	sp|P76066|YDAW_ECOLI	ydaW	ydaW
sp|P76068|YNAK_ECOLI	sp|P76068|YNAK_ECOLI	ynaK	ynaK
sp|P76069|YDAY_ECOLI	sp|P76069|YDAY_ECOLI	ydaY	ydaY
sp|P76071|INSH5_ECOLI	sp|P76071|INSH5_ECOLI	insH5	insH5
sp|P76072|STFR_ECOLI	sp|P76072|STFR_ECOLI	stfR	stfR
sp|P76073|YNAE_ECOLI	sp|P76073|YNAE_ECOLI	ynaE	ynaE
sp|P76076|YDBL_ECOLI	sp|P76076|YDBL_ECOLI	ydbL	ydbL
sp|P76077|PAAA_ECOLI	sp|P76077|PAAA_ECOLI	paaA	paaA
sp|P76078|PAAB_ECOLI	sp|P76078|PAAB_ECOLI	paaB	paaB
sp|P76079|PAAC_ECOLI	sp|P76079|PAAC_ECOLI	paaC	paaC
sp|P76080|PAAD_ECOLI	sp|P76080|PAAD_ECOLI	paaD	paaD
sp|P76081|PAAE_ECOLI	sp|P76081|PAAE_ECOLI	paaE	paaE
sp|P76082|PAAF_ECOLI	sp|P76082|PAAF_ECOLI	paaF	paaF
sp|P76083|PAAH_ECOLI	sp|P76083|PAAH_ECOLI	paaH	paaH
sp|P76084|PAAI_ECOLI	sp|P76084|PAAI_ECOLI	paaI	paaI
sp|P76085|PAAK_ECOLI	sp|P76085|PAAK_ECOLI	paaK	paaK
sp|P76086|PAAX_ECOLI	sp|P76086|PAAX_ECOLI	paaX	paaX
sp|P76090|YNBA_ECOLI	sp|P76090|YNBA_ECOLI	ynbA	ynbA
sp|P76091|YNBB_ECOLI	sp|P76091|YNBB_ECOLI	ynbB	ynbB
sp|P76092|YNBC_ECOLI	sp|P76092|YNBC_ECOLI	ynbC	ynbC
sp|P76093|YNBD_ECOLI	sp|P76093|YNBD_ECOLI	ynbD	ynbD
sp|P76096|MOKB_ECOLI	sp|P76096|MOKB_ECOLI	mokB	mokB
sp|P76097|YDCJ_ECOLI	sp|P76097|YDCJ_ECOLI	ydcJ	ydcJ
sp|P76100|YDCK_ECOLI	sp|P76100|YDCK_ECOLI	ydcK	ydcK
sp|P76102|INSQ_ECOLI	sp|P76102|INSQ_ECOLI	insQ	insQ
sp|P76103|YDCO_ECOLI	sp|P76103|YDCO_ECOLI	ydcO	ydcO
sp|P76104|RLHA_ECOLI	sp|P76104|RLHA_ECOLI	rlhA	rlhA
sp|P76106|HICA_ECOLI	sp|P76106|HICA_ECOLI	hicA	hicA
sp|P76108|YDCS_ECOLI	sp|P76108|YDCS_ECOLI	ydcS	ydcS
sp|P76111|YDCZ_ECOLI	sp|P76111|YDCZ_ECOLI	ydcZ	ydcZ
sp|P76112|MNAT_ECOLI	sp|P76112|MNAT_ECOLI	mnaT	mnaT
sp|P76113|CURA_ECOLI	sp|P76113|CURA_ECOLI	curA	curA
sp|P76114|MCBR_ECOLI	sp|P76114|MCBR_ECOLI	mcbR	mcbR
sp|P76115|YNCD_ECOLI	sp|P76115|YNCD_ECOLI	yncD	yncD
sp|P76116|YNCE_ECOLI	sp|P76116|YNCE_ECOLI	yncE	yncE
sp|P76117|YNCG_ECOLI	sp|P76117|YNCG_ECOLI	yncG	yncG
sp|P76118|YNCH_ECOLI	sp|P76118|YNCH_ECOLI	yncH	yncH
sp|P76119|YNCI_ECOLI	sp|P76119|YNCI_ECOLI	yncI	yncI
sp|P76121|YDDH_ECOLI	sp|P76121|YDDH_ECOLI	yddH	yddH
sp|P76122|YDDJ_ECOLI	sp|P76122|YDDJ_ECOLI	yddJ	yddJ
sp|P76123|YDDK_ECOLI	sp|P76123|YDDK_ECOLI	yddK	yddK
sp|P76127|BDM_ECOLI	sp|P76127|BDM_ECOLI	bdm	bdm
sp|P76128|DDPA_ECOLI	sp|P76128|DDPA_ECOLI	ddpA	ddpA
sp|P76129|DOSP_ECOLI	sp|P76129|DOSP_ECOLI	dosP	dosP
sp|P76134|YDEM_ECOLI	sp|P76134|YDEM_ECOLI	ydeM	ydeM
sp|P76135|YDEO_ECOLI	sp|P76135|YDEO_ECOLI	ydeO	ydeO
sp|P76136|SAFA_ECOLI	sp|P76136|SAFA_ECOLI	safA	safA
sp|P76137|YDET_ECOLI	sp|P76137|YDET_ECOLI	ydeT	ydeT
sp|P76138|YNEL_ECOLI	sp|P76138|YNEL_ECOLI	yneL	yneL
sp|P76141|LSRR_ECOLI	sp|P76141|LSRR_ECOLI	lsrR	lsrR
sp|P76142|LSRB_ECOLI	sp|P76142|LSRB_ECOLI	lsrB	lsrB
sp|P76143|LSRF_ECOLI	sp|P76143|LSRF_ECOLI	lsrF	lsrF
sp|P76145|TAM_ECOLI	sp|P76145|TAM_ECOLI	tam	tam
sp|P76146|YNEE_ECOLI	sp|P76146|YNEE_ECOLI	yneE	yneE
sp|P76147|DGCF_ECOLI	sp|P76147|DGCF_ECOLI	dgcF	dgcF
sp|P76148|YNEG_ECOLI	sp|P76148|YNEG_ECOLI	yneG	yneG
sp|P76149|SAD_ECOLI	sp|P76149|SAD_ECOLI	sad	sad
sp|P76150|YNEK_ECOLI	sp|P76150|YNEK_ECOLI	yneK	yneK
sp|P76154|YDFK_ECOLI	sp|P76154|YDFK_ECOLI	ydfK	ydfK
sp|P76155|TFAQ_ECOLI	sp|P76155|TFAQ_ECOLI	tfaQ	tfaQ
sp|P76156|YDFO_ECOLI	sp|P76156|YDFO_ECOLI	ydfO	ydfO
sp|P76157|YNFN_ECOLI	sp|P76157|YNFN_ECOLI	ynfN	ynfN
sp|P76158|RZPQ_ECOLI	sp|P76158|RZPQ_ECOLI	rzpQ	rzpQ
sp|P76159|LYSQ_ECOLI	sp|P76159|LYSQ_ECOLI	rrrQ	rrrQ
sp|P76160|YDFR_ECOLI	sp|P76160|YDFR_ECOLI	ydfR	ydfR
sp|P76161|REQ2_ECOLI	sp|P76161|REQ2_ECOLI	quuQ	quuQ
sp|P76162|YDFU_ECOLI	sp|P76162|YDFU_ECOLI	ydfU	ydfU
sp|P76163|YDFV_ECOLI	sp|P76163|YDFV_ECOLI	ydfV	ydfV
sp|P76164|YDFW_ECOLI	sp|P76164|YDFW_ECOLI	ydfW	ydfW
sp|P76165|YDFX_ECOLI	sp|P76165|YDFX_ECOLI	ydfX	ydfX
sp|P76168|INTQ_ECOLI	sp|P76168|INTQ_ECOLI	intQ	intQ
sp|P76169|YNFA_ECOLI	sp|P76169|YNFA_ECOLI	ynfA	ynfA
sp|P76170|YNFB_ECOLI	sp|P76170|YNFB_ECOLI	ynfB	ynfB
sp|P76172|YNFD_ECOLI	sp|P76172|YNFD_ECOLI	ynfD	ynfD
sp|P76173|YNFH_ECOLI	sp|P76173|YNFH_ECOLI	ynfH	ynfH
sp|P76175|CLCB_ECOLI	sp|P76175|CLCB_ECOLI	clcB	clcB
sp|P76176|YDGD_ECOLI	sp|P76176|YDGD_ECOLI	ydgD	ydgD
sp|P76177|YDGH_ECOLI	sp|P76177|YDGH_ECOLI	ydgH	ydgH
sp|P76180|YDGK_ECOLI	sp|P76180|YDGK_ECOLI	ydgK	ydgK
sp|P76182|RSXD_ECOLI	sp|P76182|RSXD_ECOLI	rsxD	rsxD
sp|P76185|YDHJ_ECOLI	sp|P76185|YDHJ_ECOLI	ydhJ	ydhJ
sp|P76186|YDHK_ECOLI	sp|P76186|YDHK_ECOLI	ydhK	ydhK
sp|P76187|YDHF_ECOLI	sp|P76187|YDHF_ECOLI	ydhF	ydhF
sp|P76190|MEPH_ECOLI	sp|P76190|MEPH_ECOLI	mepH	mepH
sp|P76192|YDHV_ECOLI	sp|P76192|YDHV_ECOLI	ydhV	ydhV
sp|P76193|YNHG_ECOLI	sp|P76193|YNHG_ECOLI	ynhG	ynhG
sp|P76194|SUFE_ECOLI	sp|P76194|SUFE_ECOLI	sufE	sufE
sp|P76196|YDIL_ECOLI	sp|P76196|YDIL_ECOLI	ydiL	ydiL
sp|P76197|YDIM_ECOLI	sp|P76197|YDIM_ECOLI	ydiM	ydiM
sp|P76198|YDIN_ECOLI	sp|P76198|YDIN_ECOLI	ydiN	ydiN
sp|P76201|YDIQ_ECOLI	sp|P76201|YDIQ_ECOLI	ydiQ	ydiQ
sp|P76204|YDIV_ECOLI	sp|P76204|YDIV_ECOLI	ydiV	ydiV
sp|P76205|ARPB_ECOLI	sp|P76205|ARPB_ECOLI	arpB	arpB
sp|P76206|YDIY_ECOLI	sp|P76206|YDIY_ECOLI	ydiY	ydiY
sp|P76208|YNIB_ECOLI	sp|P76208|YNIB_ECOLI	yniB	yniB
sp|P76210|YDJO_ECOLI	sp|P76210|YDJO_ECOLI	ydjO	ydjO
sp|P76213|CHO_ECOLI	sp|P76213|CHO_ECOLI	cho	cho
sp|P76214|VES_ECOLI	sp|P76214|VES_ECOLI	ves	ves
sp|P76215|ASTE_ECOLI	sp|P76215|ASTE_ECOLI	astE	astE
sp|P76216|ASTB_ECOLI	sp|P76216|ASTB_ECOLI	astB	astB
sp|P76217|ASTD_ECOLI	sp|P76217|ASTD_ECOLI	astD	astD
sp|P76219|YDJX_ECOLI	sp|P76219|YDJX_ECOLI	ydjX	ydjX
sp|P76220|YDJY_ECOLI	sp|P76220|YDJY_ECOLI	ydjY	ydjY
sp|P76221|YDJZ_ECOLI	sp|P76221|YDJZ_ECOLI	ydjZ	ydjZ
sp|P76222|YNJA_ECOLI	sp|P76222|YNJA_ECOLI	ynjA	ynjA
sp|P76223|YNJB_ECOLI	sp|P76223|YNJB_ECOLI	ynjB	ynjB
sp|P76224|YNJC_ECOLI	sp|P76224|YNJC_ECOLI	ynjC	ynjC
sp|P76226|YNJF_ECOLI	sp|P76226|YNJF_ECOLI	ynjF	ynjF
sp|P76227|YNJH_ECOLI	sp|P76227|YNJH_ECOLI	ynjH	ynjH
sp|P76228|YNJI_ECOLI	sp|P76228|YNJI_ECOLI	ynjI	ynjI
sp|P76230|YDJK_ECOLI	sp|P76230|YDJK_ECOLI	ydjK	ydjK
sp|P76231|YEAC_ECOLI	sp|P76231|YEAC_ECOLI	yeaC	yeaC
sp|P76234|YEAE_ECOLI	sp|P76234|YEAE_ECOLI	yeaE	yeaE
sp|P76235|YEAH_ECOLI	sp|P76235|YEAH_ECOLI	yeaH	yeaH
sp|P76236|CDGI_ECOLI	sp|P76236|CDGI_ECOLI	cdgI	cdgI
sp|P76237|DGCJ_ECOLI	sp|P76237|DGCJ_ECOLI	dgcJ	dgcJ
sp|P76239|YOAI_ECOLI	sp|P76239|YOAI_ECOLI	yoaI	yoaI
sp|P76241|NIMR_ECOLI	sp|P76241|NIMR_ECOLI	nimR	nimR
sp|P76242|NIMT_ECOLI	sp|P76242|NIMT_ECOLI	nimT	nimT
sp|P76243|YEAO_ECOLI	sp|P76243|YEAO_ECOLI	yeaO	yeaO
sp|P76245|DGCP_ECOLI	sp|P76245|DGCP_ECOLI	dgcP	dgcP
sp|P76249|LEUE_ECOLI	sp|P76249|LEUE_ECOLI	leuE	leuE
sp|P76250|DMLR_ECOLI	sp|P76250|DMLR_ECOLI	dmlR	dmlR
sp|P76251|DMLA_ECOLI	sp|P76251|DMLA_ECOLI	dmlA	dmlA
sp|P76254|CNTB_ECOLI	sp|P76254|CNTB_ECOLI	yeaX	yeaX
sp|P76256|TSAB_ECOLI	sp|P76256|TSAB_ECOLI	tsaB	tsaB
sp|P76257|YOAA_ECOLI	sp|P76257|YOAA_ECOLI	yoaA	yoaA
sp|P76261|PDED_ECOLI	sp|P76261|PDED_ECOLI	pdeD	pdeD
sp|P76264|MNTP_ECOLI	sp|P76264|MNTP_ECOLI	mntP	mntP
sp|P76268|KDGR_ECOLI	sp|P76268|KDGR_ECOLI	kdgR	kdgR
sp|P76269|YEBQ_ECOLI	sp|P76269|YEBQ_ECOLI	yebQ	yebQ
sp|P76270|MSRC_ECOLI	sp|P76270|MSRC_ECOLI	msrC	msrC
sp|P76272|YEBT_ECOLI	sp|P76272|YEBT_ECOLI	yebT	yebT
sp|P76273|RSMF_ECOLI	sp|P76273|RSMF_ECOLI	rsmF	rsmF
sp|P76275|YEBW_ECOLI	sp|P76275|YEBW_ECOLI	yebW	yebW
sp|P76278|YEBZ_ECOLI	sp|P76278|YEBZ_ECOLI	yebZ	yebZ
sp|P76280|YOBB_ECOLI	sp|P76280|YOBB_ECOLI	yobB	yobB
sp|P76290|CMOA_ECOLI	sp|P76290|CMOA_ECOLI	cmoA	cmoA
sp|P76291|CMOB_ECOLI	sp|P76291|CMOB_ECOLI	cmoB	cmoB
sp|P76296|YECT_ECOLI	sp|P76296|YECT_ECOLI	yecT	yecT
sp|P76297|FLHE_ECOLI	sp|P76297|FLHE_ECOLI	flhE	flhE
sp|P76298|FLHA_ECOLI	sp|P76298|FLHA_ECOLI	flhA	flhA
sp|P76299|FLHB_ECOLI	sp|P76299|FLHB_ECOLI	flhB	flhB
sp|P76308|YECR_ECOLI	sp|P76308|YECR_ECOLI	yecR	yecR
sp|P76316|DCYD_ECOLI	sp|P76316|DCYD_ECOLI	dcyD	dcyD
sp|P76318|YEDK_ECOLI	sp|P76318|YEDK_ECOLI	yedK	yedK
sp|P76319|YEDL_ECOLI	sp|P76319|YEDL_ECOLI	yedL	yedL
sp|P76322|YEDM_ECOLI	sp|P76322|YEDM_ECOLI	yedM	yedM
sp|P76329|MPGP_ECOLI	sp|P76329|MPGP_ECOLI	yedP	yedP
sp|P76330|DGCQ_ECOLI	sp|P76330|DGCQ_ECOLI	dgcQ	dgcQ
sp|P76334|YEDR_ECOLI	sp|P76334|YEDR_ECOLI	yedR	yedR
sp|P76335|YEDS_ECOLI	sp|P76335|YEDS_ECOLI	yedS	yedS
sp|P76339|HPRS_ECOLI	sp|P76339|HPRS_ECOLI	hprS	hprS
