Entry	Entry name	Status	Protein names	Gene names	Organism	Length	Annotation	Gene names  (primary )	Gene names  (ordered locus )
A0A0H2V6D1	A0A0H2V6D1_ECOL6	unreviewed	Putative deoxyribose operon repressor	c0330	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	261	1 out of 5		c0330
A0A0H2V4H6	A0A0H2V4H6_ECOL6	unreviewed	Uncharacterized protein	c0329	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	41	1 out of 5		c0329
A0A0H2V4H0	A0A0H2V4H0_ECOL6	unreviewed	Uncharacterized protein	c0328	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	79	1 out of 5		c0328
A0A0H2V525	A0A0H2V525_ECOL6	unreviewed	Uncharacterized protein	c0327	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	156	1 out of 5		c0327
A0A0H2V4F6	A0A0H2V4F6_ECOL6	unreviewed	Uncharacterized protein	c0326	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	142	1 out of 5		c0326
A0A0H2V6C6	A0A0H2V6C6_ECOL6	unreviewed	Uncharacterized protein	c0325	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	326	1 out of 5		c0325
A0A0H2V4H3	A0A0H2V4H3_ECOL6	unreviewed	Uncharacterized protein	c0324	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	40	1 out of 5		c0324
A0A0H2V4G4	A0A0H2V4G4_ECOL6	unreviewed	Putative exopolygalacturonate lyase	c0323	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	768	1 out of 5		c0323
A0A0H2V521	A0A0H2V521_ECOL6	unreviewed	Putative oligogalacturonide transporter	c0322	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	504	1 out of 5		c0322
A0A0H2V4F2	A0A0H2V4F2_ECOL6	unreviewed	Gluconate 5-dehydrogenase (EC 1.1.1.69)	c0321	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	266	1 out of 5		c0321
A0A0H2V6C2	A0A0H2V6C2_ECOL6	unreviewed	Uncharacterized protein	c0320	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	51	1 out of 5		c0320
A0A0H2V4G7	A0A0H2V4G7_ECOL6	unreviewed	Putative oligogalacturonide lyase	c0319	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	390	1 out of 5		c0319
A0A0H2V4G0	A0A0H2V4G0_ECOL6	unreviewed	Putative sugar-phosphate isomerase	c0318	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	212	1 out of 5		c0318
A0A0H2V517	A0A0H2V517_ECOL6	unreviewed	Uncharacterized protein	c0317	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	45	1 out of 5		c0317
A0A0H2V4E6	A0A0H2V4E6_ECOL6	unreviewed	Uncharacterized protein	c0316	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	96	1 out of 5		c0316
A0A0H2V6B7	A0A0H2V6B7_ECOL6	unreviewed	Uncharacterized protein	c0315	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	71	1 out of 5		c0315
A0A0H2V4G2	A0A0H2V4G2_ECOL6	unreviewed	Uncharacterized protein	c0314	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	51	1 out of 5		c0314
A0A0H2V4F5	A0A0H2V4F5_ECOL6	unreviewed	Uncharacterized protein	c0313	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	188	1 out of 5		c0313
A0A0H2V512	A0A0H2V512_ECOL6	unreviewed	Uncharacterized protein	c0312	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	80	1 out of 5		c0312
A0A0H2V4E3	A0A0H2V4E3_ECOL6	unreviewed	Uncharacterized protein	c0311	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	141	1 out of 5		c0311
A0A0H2V6B2	A0A0H2V6B2_ECOL6	unreviewed	Uncharacterized protein	c0310	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	129	1 out of 5		c0310
A0A0H2V4F7	A0A0H2V4F7_ECOL6	unreviewed	Uncharacterized protein	c0309	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	199	1 out of 5		c0309
A0A0H2V4F1	A0A0H2V4F1_ECOL6	unreviewed	Haemolysin expression modulating protein	c0308	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	46	1 out of 5		c0308
A0A0H2V507	A0A0H2V507_ECOL6	unreviewed	Uncharacterized protein	c0307	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	263	1 out of 5		c0307
A0A0H2V4D9	A0A0H2V4D9_ECOL6	unreviewed	Uncharacterized protein	c0306	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	68	1 out of 5		c0306
A0A0H2V6A9	A0A0H2V6A9_ECOL6	unreviewed	Uncharacterized protein	c0305	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	202	1 out of 5		c0305
A0A0H2V4F3	A0A0H2V4F3_ECOL6	unreviewed	Uncharacterized protein	c0304	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	66	1 out of 5		c0304
A0A0H2V4E8	A0A0H2V4E8_ECOL6	unreviewed	Uncharacterized protein	c0303	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	47	1 out of 5		c0303
A0A0H2V502	A0A0H2V502_ECOL6	unreviewed	Uncharacterized protein	c0302	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	45	1 out of 5		c0302
A0A0H2V4D4	A0A0H2V4D4_ECOL6	unreviewed	Uncharacterized protein	c0301	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	61	1 out of 5		c0301
A0A0H2V699	A0A0H2V699_ECOL6	unreviewed	Uncharacterized protein	c0300	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	48	1 out of 5		c0300
A0A0H2V4E9	A0A0H2V4E9_ECOL6	unreviewed	Uncharacterized protein	c0299	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	141	1 out of 5		c0299
A0A0H2V4E4	A0A0H2V4E4_ECOL6	unreviewed	Uncharacterized protein	c0298	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	122	1 out of 5		c0298
A0A0H2VAW4	A0A0H2VAW4_ECOL6	unreviewed	Putative ABC transporter	c0297 c2515	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	255	1 out of 5		c0297 c2515
A0A0H2V4D2	A0A0H2V4D2_ECOL6	unreviewed	ABC transporter, FecCD transport family	c0296 c2516	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	352	1 out of 5		c0296 c2516
A0A0H2V9X4	A0A0H2V9X4_ECOL6	unreviewed	Periplasmic binding protein	c0295 c2517	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	330	1 out of 5		c0295 c2517
A0A0H2V4E2	A0A0H2V4E2_ECOL6	unreviewed	TonB dependent receptor	c0294 c2518	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	721	1 out of 5		c0294 c2518
A0A0H2V4D8	A0A0H2V4D8_ECOL6	unreviewed	Uncharacterized protein	c0293	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	269	1 out of 5		c0293
A0A0H2V4Z3	A0A0H2V4Z3_ECOL6	unreviewed	Uncharacterized protein	c0292	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	245	1 out of 5		c0292
A0A0H2V4C7	A0A0H2V4C7_ECOL6	unreviewed	Phage_integrase domain-containing protein	c0291	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	202	1 out of 5		c0291
A0A0H2V689	A0A0H2V689_ECOL6	unreviewed	Uncharacterized protein	c0290	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	367	1 out of 5		c0290
A0A0H2V4E0	A0A0H2V4E0_ECOL6	unreviewed	Uncharacterized protein	c0289	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	118	1 out of 5		c0289
A0A0H2V4D5	A0A0H2V4D5_ECOL6	unreviewed	Uncharacterized protein	c0288	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	41	1 out of 5		c0288
A0A0H2V4Y8	A0A0H2V4Y8_ECOL6	unreviewed	Dynamin-type G domain-containing protein	c0287	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	115	1 out of 5		c0287
A0A0H2V4C4	A0A0H2V4C4_ECOL6	unreviewed	Uncharacterized protein	c0286	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	603	1 out of 5		c0286
A0A0H2V686	A0A0H2V686_ECOL6	unreviewed	Uncharacterized protein	c0285	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	301	1 out of 5		c0285
A0A0H2V4D6	A0A0H2V4D6_ECOL6	unreviewed	PNPLA domain-containing protein	c0284	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	356	1 out of 5		c0284
A0A0H2V4D0	A0A0H2V4D0_ECOL6	unreviewed	Uncharacterized protein	c0283	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	168	1 out of 5		c0283
A0A0H2V4Y3	A0A0H2V4Y3_ECOL6	unreviewed	Uncharacterized protein	c0282	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	212	1 out of 5		c0282
A0A0H2V4B9	A0A0H2V4B9_ECOL6	unreviewed	Uncharacterized protein	c0281	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	82	1 out of 5		c0281
A0A0H2V681	A0A0H2V681_ECOL6	unreviewed	Uncharacterized protein	c0280	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	161	1 out of 5		c0280
Q8FKW2	Y279_ECOL6	reviewed	UPF0401 protein c0279	c0279	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	77	1 out of 5		c0279
A0A0H2V4C9	A0A0H2V4C9_ECOL6	unreviewed	Uncharacterized protein	c0278	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	273	1 out of 5		c0278
A0A0H2V4C6	A0A0H2V4C6_ECOL6	unreviewed	Uncharacterized protein	c0277	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	282	1 out of 5		c0277
A0A0H2V4X8	A0A0H2V4X8_ECOL6	unreviewed	Uncharacterized protein	c0276	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	74	1 out of 5		c0276
A0A0H2V4B5	A0A0H2V4B5_ECOL6	unreviewed	Uncharacterized protein	c0275	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	181	1 out of 5		c0275
A0A0H2V677	A0A0H2V677_ECOL6	unreviewed	Uncharacterized protein	c0274	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	319	1 out of 5		c0274
A0A0H2V4C5	A0A0H2V4C5_ECOL6	unreviewed	Putative radC-like protein yeeS	c0273	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	163	1 out of 5		c0273
A0A0H2V4C2	A0A0H2V4C2_ECOL6	unreviewed	Uncharacterized protein	c0272	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	73	1 out of 5		c0272
A0A0H2V4X3	A0A0H2V4X3_ECOL6	unreviewed	Uncharacterized protein	c0271	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	214	1 out of 5		c0271
A0A0H2V4B2	A0A0H2V4B2_ECOL6	unreviewed	Uncharacterized protein	c0270	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	154	1 out of 5		c0270
A0A0H2V671	A0A0H2V671_ECOL6	unreviewed	Uncharacterized protein	c0269	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	125	1 out of 5		c0269
A0A0H2V4C0	A0A0H2V4C0_ECOL6	unreviewed	Insertion sequence ATP-binding protein	c0268 c1529 c2509 c3608 c5145	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	251	1 out of 5		c0268 c1529 c2509 c3608 c5145
A0A0H2V4B8	A0A0H2V4B8_ECOL6	unreviewed	Uncharacterized protein	c0265	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	115	1 out of 5		c0265
A0A0H2V4X0	A0A0H2V4X0_ECOL6	unreviewed	DDE_3 domain-containing protein	c0264	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	84	1 out of 5		c0264
A0A0H2V4A8	A0A0H2V4A8_ECOL6	unreviewed	Putative Transposase	c0263	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	228	1 out of 5		c0263
A0A0H2VAJ1	A0A0H2VAJ1_ECOL6	unreviewed	DDE_Tnp_IS66_C domain-containing protein	c0262 c3614	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	61	1 out of 5		c0262 c3614
A0A0H2V4B7	A0A0H2V4B7_ECOL6	unreviewed	DEDD_Tnp_IS110 domain-containing protein	c0261	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	377	1 out of 5		c0261
A0A0H2V4B4	A0A0H2V4B4_ECOL6	unreviewed	Uncharacterized protein	c0260	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	54	1 out of 5		c0260
A0A0H2V4W6	A0A0H2V4W6_ECOL6	unreviewed	Uncharacterized protein	c0259	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	316	1 out of 5		c0259
A0A0H2V4A4	A0A0H2V4A4_ECOL6	unreviewed	Uncharacterized protein	c0258	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	215	1 out of 5		c0258
A0A0H2V662	A0A0H2V662_ECOL6	unreviewed	Uncharacterized protein	c0257	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	116	1 out of 5		c0257
A0A0H2V4B0	A0A0H2V4B0_ECOL6	unreviewed	Uncharacterized protein	c0256	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	73	1 out of 5		c0256
A0A0H2V4B1	A0A0H2V4B1_ECOL6	unreviewed	DUF4942 domain-containing protein	c0255	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	148	1 out of 5		c0255
A0A0H2V4W3	A0A0H2V4W3_ECOL6	unreviewed	DUF4942 domain-containing protein	c0254	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	81	1 out of 5		c0254
A0A0H2V499	A0A0H2V499_ECOL6	unreviewed	Uncharacterized protein	c0253	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	114	1 out of 5		c0253
A0A0H2V489	A0A0H2V489_ECOL6	unreviewed	Uncharacterized protein	c0233	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	176	1 out of 5		c0233
A0A0H2V647	A0A0H2V647_ECOL6	unreviewed	Putative Transposase insK for insertion sequence element IS150	c0232	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	240	1 out of 5		c0232
A0A0H2V491	A0A0H2V491_ECOL6	unreviewed	Uncharacterized protein	c0222	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	311	1 out of 5		c0222
A0A0H2V638	A0A0H2V638_ECOL6	unreviewed	Uncharacterized protein	c0205	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	309	1 out of 5		c0205
A0A0H2V475	A0A0H2V475_ECOL6	unreviewed	Uncharacterized protein	c0192	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	86	1 out of 5		c0192
A0A0H2V471	A0A0H2V471_ECOL6	unreviewed	Uncharacterized protein	c0184	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	60	1 out of 5		c0184
A0A0H2V478	A0A0H2V478_ECOL6	unreviewed	Uncharacterized protein	c0182	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	55	1 out of 5		c0182
A0A0H2V624	A0A0H2V624_ECOL6	unreviewed	Uncharacterized protein	c0174	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	42	1 out of 5		c0174
A0A0H2V474	A0A0H2V474_ECOL6	unreviewed	Uncharacterized protein	c0173	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	46	1 out of 5		c0173
A0A0H2V458	A0A0H2V458_ECOL6	unreviewed	Uncharacterized protein	c0163	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	65	1 out of 5		c0163
A0A0H2V464	A0A0H2V464_ECOL6	unreviewed	Uncharacterized protein	c0161	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	61	1 out of 5		c0161
A0A0H2V443	A0A0H2V443_ECOL6	unreviewed	Uncharacterized protein	c0141	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	60	1 out of 5		c0141
A0A0H2V6R8	A0A0H2V6R8_ECOL6	unreviewed	Putative Transposase for IS629	c0139 c1262 c1521 c1553	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	296	1 out of 5		c0139 c1262 c1521 c1553
A0A0H2VDI6	A0A0H2VDI6_ECOL6	unreviewed	Uncharacterized protein	c0138 c0354 c1263 c1520 c1552 c5168 c5214	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	108	1 out of 5		c0138 c0354 c1263 c1520 c1552 c5168 c5214
A0A0H2V425	A0A0H2V425_ECOL6	unreviewed	Uncharacterized protein	c0137	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	96	1 out of 5		c0137
A0A0H2V5X5	A0A0H2V5X5_ECOL6	unreviewed	Uncharacterized protein	c0136	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	40	1 out of 5		c0136
A0A0H2V439	A0A0H2V439_ECOL6	unreviewed	Uncharacterized protein	c0134	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	47	1 out of 5		c0134
A0A0H2V440	A0A0H2V440_ECOL6	unreviewed	Uncharacterized protein	c0133	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	98	1 out of 5		c0133
A0A0H2V414	A0A0H2V414_ECOL6	unreviewed	Uncharacterized protein	c0120	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	65	1 out of 5		c0120
A0A0H2V5W5	A0A0H2V5W5_ECOL6	unreviewed	Putative Transposase insK for insertion sequence element IS150	c0119	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	240	1 out of 5		c0119
A0A0H2V432	A0A0H2V432_ECOL6	unreviewed	Uncharacterized protein	c0118	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	173	1 out of 5		c0118
A0A0H2V428	A0A0H2V428_ECOL6	unreviewed	Uncharacterized protein	c0097	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	43	1 out of 5		c0097
A0A0H2V402	A0A0H2V402_ECOL6	unreviewed	Uncharacterized protein	c0094	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	42	1 out of 5		c0094
A0A0H2V423	A0A0H2V423_ECOL6	unreviewed	Uncharacterized protein	c0092	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	40	1 out of 5		c0092
A0A0H2V420	A0A0H2V420_ECOL6	unreviewed	Uncharacterized protein	c0088	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	61	1 out of 5		c0088
A0A0H2V4J6	A0A0H2V4J6_ECOL6	unreviewed	Transposase	c0086 c0198 c1291 c1384 c2622 c3152	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	169	1 out of 5		c0086 c0198 c1291 c1384 c2622 c3152
A0A0H2V413	A0A0H2V413_ECOL6	unreviewed	Uncharacterized protein	c0080	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	140	1 out of 5		c0080
A0A0H2V4J0	A0A0H2V4J0_ECOL6	unreviewed	Uncharacterized protein	c0079	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	190	1 out of 5		c0079
A0A0H2V3Y9	A0A0H2V3Y9_ECOL6	unreviewed	Uncharacterized protein	c0078	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	78	1 out of 5		c0078
A0A0H2V5U4	A0A0H2V5U4_ECOL6	unreviewed	Uncharacterized protein	c0077	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	40	1 out of 5		c0077
A0A0H2V827	A0A0H2V827_ECOL6	unreviewed	Transposase	c0072 c0563 c1256 c1427 c2334 c2639 c3468 c5469	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	169	1 out of 5		c0072 c0563 c1256 c1427 c2334 c2639 c3468 c5469
A0A0H2V5T8	A0A0H2V5T8_ECOL6	unreviewed	Uncharacterized protein	c0062	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	117	1 out of 5		c0062
A0A0H2V410	A0A0H2V410_ECOL6	unreviewed	Putative toxin of gyrase inhibiting toxin-antitoxin system	c0060	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	104	1 out of 5		c0060
A0A0H2V401	A0A0H2V401_ECOL6	unreviewed	Putative antitoxin of gyrase inhibiting toxin-antitoxin system	c0059	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	77	1 out of 5		c0059
A0A0H2V5T4	A0A0H2V5T4_ECOL6	unreviewed	Uncharacterized protein	c0042	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	72	1 out of 5		c0042
A0A0H2V403	A0A0H2V403_ECOL6	unreviewed	Uncharacterized protein	c0039	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	45	1 out of 5		c0039
A0A0H2V3Z7	A0A0H2V3Z7_ECOL6	unreviewed	Uncharacterized protein	c0038	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	55	1 out of 5		c0038
A0A0H2V4H7	A0A0H2V4H7_ECOL6	unreviewed	Uncharacterized protein	c0036	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	121	1 out of 5		c0036
A0A0H2V5S9	A0A0H2V5S9_ECOL6	unreviewed	Uncharacterized protein	c0026	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	42	1 out of 5		c0026
A0A0H2V3Z1	A0A0H2V3Z1_ECOL6	unreviewed	Uncharacterized protein	c0023	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	419	1 out of 5		c0023
A0A0H2V4H2	A0A0H2V4H2_ECOL6	unreviewed	Sulfatase domain-containing protein	c0022	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	509	1 out of 5		c0022
A0A0H2V3W6	A0A0H2V3W6_ECOL6	unreviewed	Putative conserved protein	c0021	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	253	1 out of 5		c0021
A0A0H2V5S3	A0A0H2V5S3_ECOL6	unreviewed	Putative glutamate dehydrogenase	c0018	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	678	1 out of 5		c0018
A0A0H2V4G8	A0A0H2V4G8_ECOL6	unreviewed	Uncharacterized protein	c0014	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	45	1 out of 5		c0014
A0A0H2V3Y6	A0A0H2V3Y6_ECOL6	unreviewed	Uncharacterized protein	c0009	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	87	1 out of 5		c0009
A0A0H2V3X8	A0A0H2V3X8_ECOL6	unreviewed	Uncharacterized protein	c0008	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	82	1 out of 5		c0008
A0A0H2V3V4	A0A0H2V3V4_ECOL6	unreviewed	Uncharacterized protein	c0006	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	49	1 out of 5		c0006
A0A0H2V3X5	A0A0H2V3X5_ECOL6	unreviewed	Y1_Tnp domain-containing protein	c0002	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	125	1 out of 5		c0002
P0A9H6	BTUR_ECOL6	reviewed	Corrinoid adenosyltransferase (EC 2.5.1.17) (Cob(II)alamin adenosyltransferase) (Cob(II)yrinic acid a,c-diamide adenosyltransferase) (Cobinamide/cobalamin adenosyltransferase)	btuR c1735	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	196	3 out of 5	btuR	c1735
Q8CWD2	BTUF_ECOL6	reviewed	Vitamin B12-binding protein	btuF c0194	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	266	3 out of 5	btuF	c0194
A0A0H2V7R3	A0A0H2V7R3_ECOL6	unreviewed	Thioredoxin/glutathione peroxidase BtuE (EC 1.11.1.15) (EC 1.11.1.9)	btuE c2106	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	183	2 out of 5	btuE	c2106
Q8FH28	BTUD_ECOL6	reviewed	Vitamin B12 import ATP-binding protein BtuD (EC 7.6.2.8) (Vitamin B12-transporting ATPase)	btuD c2105	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	249	3 out of 5	btuD	c2105
Q8FH26	BTUC_ECOL6	reviewed	Vitamin B12 import system permease protein BtuC	btuC c2107	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	326	2 out of 5	btuC	c2107
Q8CVJ0	BTUB_ECOL6	reviewed	Vitamin B12 transporter BtuB (Cobalamin receptor) (Outer membrane cobalamin translocator)	btuB c4929	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	614	3 out of 5	btuB	c4929
P0AD15	BTSS_ECOL6	reviewed	Sensor histidine kinase BtsS (EC 2.7.13.3)	btsS yehU c2656	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	561	3 out of 5	btsS	c2656
P0AFT6	BTSR_ECOL6	reviewed	Transcriptional regulatory protein BtsR	btsR yehT c2655	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	239	2 out of 5	btsR	c2655
P0AB34	BSSS_ECOL6	reviewed	Biofilm regulator BssS	bssS c1327	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	84	1 out of 5	bssS	c1327
A0A0H2V4U6	A0A0H2V4U6_ECOL6	unreviewed	Branched-chain amino acid transport system carrier protein	brnQ c0511	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	439	2 out of 5	brnQ	c0511
P0ABE3	BOLA_ECOL6	reviewed	DNA-binding transcriptional regulator BolA	bolA c0548	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	105	2 out of 5	bolA	c0548
A0A0H2VF34	A0A0H2VF34_ECOL6	unreviewed	Outer membrane lipoprotein Blc	blc c5237	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	177	2 out of 5	blc	c5237
